ga:hostname	ga:isMobile	ga:visits
www.1027sbundydr.com	No	4
www.1027sbundydr.com	Yes	1
www.1027winchester.com	No	2
www.10286noble.com	No	1
www.10286noble.com	Yes	1
www.10286noblect.com	No	2
www.10286noblect.com.spw.qa.homefinder.com	No	1
www.1028ElAlameda.com	Yes	1
www.1028WILLOWDR.COM	No	1
www.1028danielln.com	No	3
www.1028elalameda.com	No	133
www.1028elalameda.com	Yes	15
www.1028stirlingshiredr.com	No	6
www.1028willowdr.com	No	14
www.1028willowdr.com	Yes	1
www.1028willowdr.com.spw.qa.homefinder.com	No	1
www.10293bradburydr.com	No	1
www.10293bradburydr.com	Yes	1
www.1029BOXWOODDR.COM	No	2
www.1029MAYNORAVE.COM	No	1
www.1029NLAKEDAVISDR.COM	No	2
www.1029boxwooddr.com	No	2
www.1029nlakedavisdr.com	No	2
www.1029nlakedavisdr.com	Yes	2
www.1029soedisonst.com	No	6
www.102ASHTONPARKBLVD37067.COM	No	1
www.102AYERSDALEDR.COM	No	2
www.102CLARKDR.COM	No	1
www.102CLIFFSIDETRAIL.COM	No	2
www.102COBBLESTONE.COM	No	2
www.102GULLANE.COM	No	1
www.102GinkoCtLot81.com	No	3
www.102GinkoCtLot81.com	Yes	3
www.102INDIANDR.COM	No	1
www.102MarinersCirLot106.com	No	3
www.102MarinersCirLot106.com	Yes	5
www.102NORTHSHERIDAN.COM	No	1
www.102SPARKLN.COM	No	2
www.102alliect.com	No	1
www.102ashtonparkblvd37067.com	No	9
www.102ashtonparkblvd37067.com	Yes	1
www.102ayersdaledr.com	No	1
www.102bethelrd.com	No	1
www.102bobcattrail.com	No	6
www.102braxtonhillct.com	No	2
www.102braxtonhillct.com	Yes	2
www.102clarkdr.com	No	1
www.102clarkdr.com	Yes	1
www.102cliffsidetrail.com	No	4
